ID,Document Name,Model Name,Question,Gold Answer,Confidence,Time,Search Sentence
47,Healthcare.pdf,ALBERT-V2 Base,What factors support future employment growth?,ability for employers to connect with job seekers.,0.25,5.87,ability for employers to connect with job seekers.
48,Healthcare.pdf,ALBERT-V2 Base,What is the expected employment increase in health care industry by 2025?,"1,875,300 persons",0.33,6.95,"1,875,300 persons"
49,Healthcare.pdf,ALBERT-V2 Base,What is the expected employment increase in data science industry by 2025?,,,,
50,Healthcare.pdf,ALBERT-V2 Base,How many healthcare employees work in the data science industry?,,,,
51,Education.pdf,ALBERT-V2 Base,How were the refugee students engaged in learning?,A range of tutoring and mentoring programs,0.38,7.56,A range of tutoring and mentoring programs
52,Education.pdf,ALBERT-V2 Base,What programs were introduced to support Aboriginal student wellbeing?,evidence-informed,0.17,7.44,resources to support school counselling staff in working
53,Education.pdf,ALBERT-V2 Base,What service has been introduced for rural and remote students?,face to face and telepsychology,,,
54,Education.pdf,ALBERT-V2 Base,Where did Andrew Ng went to school?,,,,
55,Education.pdf,ALBERT-V2 Base,Where was Andrew Ng born?,,,,
56,Manual.pdf,ALBERT-V2 Base,What should the pilot check before starting the engine?,what is behind the airplane,0.87,19.26,what is behind the airplane
57,Manual.pdf,ALBERT-V2 Base,When should the airplane be slowed?,after the airplane is brought to a complete stop beyond the runway holding position markings.,0.23,19.6,after the airplane is brought to a complete stop beyond the runway holding position markings.
58,Manual.pdf,ALBERT-V2 Base,Which direction should an airplane be parked?,slightly,0.7,19.52,should be moved slightly to allow for evaluation
59,Manual.pdf,ALBERT-V2 Base,Which direction should a scooter be parked?,,,,
60,Manual.pdf,ALBERT-V2 Base,When a car should be tunred off?,,,,
